,ID_昼お魚,name_昼お魚,曜日,個数,周辺平均,人気度,基本数
2021-07-12,,白身魚唐揚げ野菜あん　昼,0.0,80.0,73.98358585858585,1.0813209318201211,72.72727272727272
2021-07-13,,鮭の塩焼き,1.0,96.0,92.75,1.0350404312668464,90.5
2021-07-14,,サバ塩焼き,2.0,96.0,81.11111111111111,1.1,87.27272727272727
2021-07-15,,赤魚の西京焼き　60g,3.0,88.0,68.63636363636363,1.1,80.0
2021-07-16,,あじの塩こうじ焼き　60ｇ,4.0,74.0,74.75,0.9899665551839465,77.5
2021-07-19,,鮭の塩焼き,0.0,82.0,73.13131313131314,1.1,74.54545454545453
2021-07-20,,あじの塩こうじ焼き　60ｇ,1.0,84.0,89.0,0.9438202247191011,90.0
2021-07-21,,黄金カレイの煮つけ,2.0,64.0,81.71717171717171,0.9,71.11111111111111
2021-07-22,,白身魚ホイル焼き,3.0,36.0,72.72727272727272,0.9,40.0
2021-07-23,,サバの塩焼き,4.0,54.0,74.7310606060606,0.9,60.0
2021-07-26,,さわら塩焼き,0.0,72.0,72.72727272727272,0.9900000000000001,80.0
2021-07-27,,鮭の塩焼き,1.0,84.0,86.93055555555556,0.9662885444959258,85.5
2021-07-28,,あじの塩こうじ焼き　60ｇ,2.0,88.0,76.71717171717172,1.1,80.0
2021-07-29,,さばの味噌煮　60ｇ,3.0,70.0,62.57575757575758,1.1,63.63636363636363
2021-07-30,,赤魚の西京焼き　60g,4.0,76.0,70.27777777777777,1.081422924901186,69.09090909090908
2021-08-02,,白身魚のカレー煮,0.0,78.0,70.77441077441077,1.1,70.9090909090909
2021-08-03,,サバの西京焼き,1.0,88.0,88.05555555555556,0.9993690851735015,84.99999999999999
2021-08-04,,赤魚の煮つけ,2.0,90.0,73.33333333333333,1.1,81.81818181818181
2021-08-05,,黄金カレイ煮付け,3.0,70.0,63.68686868686869,1.099127676447264,63.63636363636363
2021-08-06,,あじの塩こうじ焼き　60ｇ,4.0,72.0,73.03030303030302,0.9858921161825728,73.33333333333333
2021-08-10,,赤魚の西京焼き　60g,1.0,74.0,93.06818181818181,0.9,82.22222222222221
2021-08-11,,鮭の塩焼き,2.0,60.0,82.52525252525251,0.9,66.66666666666667
2021-08-12,,さばの味噌煮　60ｇ,3.0,60.0,78.83838383838383,0.9,66.66666666666667
2021-08-16,,あじの塩こうじ焼き　60ｇ,0.0,52.0,74.61279461279462,0.9,57.77777777777778
2021-08-17,,白身魚のおろしあん,1.0,98.0,95.49873737373737,1.0261915779731605,94.5
2021-08-18,,黄金カレイ煮付け,2.0,68.0,81.5530303030303,0.9,75.55555555555556
2021-08-19,,鮭の塩焼き,3.0,76.0,81.66666666666666,0.9306122448979592,84.44444444444444
2021-08-20,,さば南蛮漬け,4.0,90.0,87.88383838383838,1.0240790759151772,90.0
2021-08-23,,黄金カレイ煮付け,0.0,90.0,68.41750841750842,1.1,81.81818181818181
2021-08-24,,アジ南蛮漬け,1.0,118.0,96.43055555555556,1.1,107.27272727272727
2021-08-25,,鮭の塩焼き,2.0,102.0,81.30555555555556,1.1,92.72727272727272
2021-08-26,,さばの味噌煮　60ｇ,3.0,114.0,81.20959595959596,1.1,103.63636363636363
2021-08-27,,赤魚の西京焼き　60g,4.0,112.0,86.9074074074074,1.1,101.81818181818181
2021-08-30,,あじの塩こうじ焼き　60ｇ,0.0,64.0,71.82323232323232,0.9,71.11111111111111
2021-08-31,,赤魚の煮つけ,1.0,98.0,100.81818181818181,0.9720468890892696,107.5
2021-09-01,,さばの味噌煮　60ｇ,2.0,88.0,87.68181818181819,1.0036288232244686,84.99999999999999
2021-09-02,,さわらの西京焼き　50ｇ,3.0,102.0,86.1590909090909,1.1,92.72727272727272
2021-09-03,,鮭の塩焼き,4.0,86.0,89.26010101010101,0.9634763912071745,88.5
2021-09-06,,サバの塩焼き,0.0,84.0,74.75420875420876,1.1,76.36363636363636
2021-09-07,,赤魚の西京焼き　60g,1.0,104.0,100.91540404040404,1.0305661557710353,101.49999999999999
2021-09-08,,カレイの竜田揚げおろしかけ,2.0,94.0,94.17929292929293,0.9980962595522188,98.0
2021-09-09,,あじの塩こうじ焼き　60ｇ,3.0,84.0,79.0909090909091,1.0620689655172413,81.0
2021-09-10,,さば南蛮漬け,4.0,74.0,90.14772727272727,0.9,82.22222222222221
2021-09-13,,鮭の塩焼き,0.0,70.0,73.60269360269359,0.9510521500457458,71.33333333333333
2021-09-14,,さばの味噌煮　60ｇ,1.0,110.0,98.84722222222223,1.1,99.99999999999999
2021-09-15,,さわらの塩麴焼き,2.0,76.0,97.76136363636363,0.9,84.44444444444444
2021-09-16,,黄金カレイ煮付け,3.0,68.0,73.54292929292929,0.9246300175119322,75.55555555555556
2021-09-17,,鮭の塩焼き,4.0,78.0,85.60984848484848,0.9111101278704482,83.0
2021-09-21,,黄金カレイ煮付け,1.0,80.0,99.29545454545455,0.9,88.88888888888889
2021-09-22,,白身魚唐揚げ野菜あん　昼,2.0,126.0,92.31944444444444,1.1,114.54545454545453
2021-09-23,,鮭の塩焼き,3.0,40.0,80.8661616161616,0.9,44.44444444444444
2021-09-24,,さば竜田揚げ,4.0,96.0,85.54166666666667,1.1,87.27272727272727
2021-09-27,,あじの塩こうじ焼き　60ｇ,0.0,66.0,78.72222222222221,0.9,73.33333333333333
2021-09-28,,カレイの唐揚げ,1.0,90.0,95.01767676767676,0.9471921758311851,97.5
2021-09-29,,さばの味噌煮　60ｇ,2.0,86.0,94.08080808080807,0.9141077947176295,93.5
2021-09-30,,赤魚の煮つけ,3.0,80.0,76.10227272727272,1.0512169628191728,76.0
2021-10-01,,サバの塩焼き,4.0,76.0,89.94318181818181,0.9,84.44444444444444
2021-10-04,,黄金カレイ煮付け,0.0,74.0,82.58080808080807,0.9,81.33333333333333
2021-10-05,,白身魚南蛮漬け,1.0,108.0,92.47222222222223,1.1,98.18181818181817
2021-10-06,,サバの塩焼き,2.0,84.0,93.56691919191918,0.9,93.33333333333333
2021-10-07,,赤魚の西京焼き　60g,3.0,100.0,77.48611111111111,1.1,90.9090909090909
2021-10-08,,カレイの竜田揚げおろしかけ,4.0,96.0,91.72474747474747,1.0466095862125926,92.5
2021-10-11,,白身魚のカレー煮,0.0,78.0,84.39393939393939,0.9242369838420108,83.5
2021-10-12,,赤魚の煮つけ,1.0,92.0,92.67045454545455,0.9927651747394236,93.0
2021-10-13,,鮭の塩焼き,2.0,88.0,88.26388888888889,0.9970102281667979,84.0
2021-10-14,,さばの味噌煮　60ｇ,3.0,96.0,89.81818181818181,1.0688259109311742,93.49999999999999
2021-10-15,,さわら塩麴焼き,4.0,90.0,93.32702020202021,0.9643509436514915,97.0
2021-10-18,,サバの塩焼き,0.0,100.0,87.54166666666666,1.1,90.9090909090909
2021-10-19,,アジ塩焼き,1.0,88.0,87.92045454545455,1.00090474344061,90.5
2021-10-20,,赤魚の西京焼き　60g,2.0,74.0,87.1111111111111,0.9,82.22222222222221
2021-10-21,,黄金カレイ煮付け,3.0,88.0,92.97095959595958,0.9465321255415372,96.0
2021-10-22,,白身魚唐揚げ野菜あん　昼,4.0,108.0,95.25378787878788,1.1,98.18181818181817
2021-10-25,,さわらの西京焼き　50ｇ,0.0,94.0,91.81060606060606,1.0238468520504993,91.99999999999999
2021-10-26,,赤魚の煮つけ,1.0,86.0,83.51136363636363,1.029799972785413,84.49999999999999
2021-10-27,,あじの塩こうじ焼き　60ｇ,2.0,92.0,84.07407407407408,1.094273127753304,83.99999999999999
2021-10-28,,カレイの唐揚げ,3.0,106.0,93.7891414141414,1.1,96.36363636363636
2021-10-29,,さばの味噌煮　60ｇ,4.0,108.0,93.62878787878788,1.1,98.18181818181817
2021-11-01,,さばの味噌煮　60ｇ,0.0,84.0,95.60227272727272,0.9,93.33333333333333
2021-11-02,,さわらの西京焼き　50ｇ,1.0,76.0,75.71969696969697,1.0037018509254627,76.0
